,player_pos,goal_pos,tier,original_reward,dist_to_goal
0,"(1, 1)","(6, 6)",0,0.0,10
1,"(2, 1)","(6, 6)",0,0.0,9
2,"(2, 1)","(6, 6)",0,0.0,9
3,"(3, 1)","(6, 6)",1,0.0,8
4,"(3, 1)","(6, 6)",1,0.0,8
5,"(3, 1)","(6, 6)",1,0.0,8
6,"(3, 1)","(6, 6)",1,0.0,8
7,"(3, 1)","(6, 6)",1,0.0,8
8,"(3, 1)","(6, 6)",1,0.0,8
9,"(3, 1)","(6, 6)",1,0.0,8
10,"(3, 1)","(6, 6)",1,0.0,8
11,"(3, 1)","(6, 6)",1,0.0,8
12,"(3, 1)","(6, 6)",1,0.0,8
13,"(3, 1)","(6, 6)",1,0.0,8
14,"(3, 1)","(6, 6)",1,0.0,8
15,"(3, 1)","(6, 6)",1,0.0,8
16,"(4, 1)","(6, 6)",2,0.0,7
17,"(4, 1)","(6, 6)",2,0.0,7
18,"(4, 1)","(6, 6)",2,0.0,7
19,"(4, 1)","(6, 6)",2,0.0,7
20,"(4, 1)","(6, 6)",2,0.0,7
21,"(4, 1)","(6, 6)",2,0.0,7
22,"(4, 1)","(6, 6)",2,0.0,7
23,"(4, 1)","(6, 6)",2,0.0,7
24,"(4, 1)","(6, 6)",2,0.0,7
25,"(5, 1)","(6, 6)",3,0.0,6
26,"(5, 1)","(6, 6)",3,0.0,6
27,"(6, 1)","(6, 6)",4,0.0,5
28,"(6, 1)","(6, 6)",4,0.0,5
29,"(6, 1)","(6, 6)",4,0.0,5
30,"(6, 1)","(6, 6)",4,0.0,5
31,"(6, 1)","(6, 6)",4,0.0,5
32,"(6, 1)","(6, 6)",4,0.0,5
33,"(6, 1)","(6, 6)",4,0.0,5
34,"(6, 1)","(6, 6)",4,0.0,5
35,"(5, 1)","(6, 6)",3,0.0,6
36,"(5, 1)","(6, 6)",3,0.0,6
37,"(4, 1)","(6, 6)",2,0.0,7
38,"(4, 1)","(6, 6)",2,0.0,7
