,player_pos,goal_pos,tier,original_reward,dist_to_goal
0,"(2, 1)","(6, 6)",0,0.0,9
1,"(2, 1)","(6, 6)",0,0.0,9
2,"(2, 1)","(6, 6)",0,0.0,9
3,"(2, 1)","(6, 6)",0,0.0,9
4,"(2, 1)","(6, 6)",0,0.0,9
5,"(2, 1)","(6, 6)",0,0.0,9
6,"(2, 1)","(6, 6)",0,0.0,9
7,"(2, 1)","(6, 6)",0,0.0,9
8,"(2, 1)","(6, 6)",0,0.0,9
9,"(3, 1)","(6, 6)",1,0.0,8
10,"(4, 1)","(6, 6)",2,0.0,7
11,"(4, 1)","(6, 6)",2,0.0,7
12,"(4, 2)","(6, 6)",3,0.0,6
13,"(4, 2)","(6, 6)",3,0.0,6
14,"(4, 2)","(6, 6)",3,0.0,6
15,"(5, 2)","(6, 6)",4,0.0,5
16,"(5, 2)","(6, 6)",4,0.0,5
17,"(5, 2)","(6, 6)",4,0.0,5
18,"(5, 2)","(6, 6)",4,0.0,5
19,"(5, 2)","(6, 6)",4,0.0,5
20,"(5, 2)","(6, 6)",4,0.0,5
21,"(5, 2)","(6, 6)",4,0.0,5
22,"(5, 2)","(6, 6)",4,0.0,5
23,"(5, 2)","(6, 6)",4,0.0,5
24,"(5, 2)","(6, 6)",4,0.0,5
25,"(5, 2)","(6, 6)",4,0.0,5
26,"(5, 2)","(6, 6)",4,0.0,5
27,"(4, 2)","(6, 6)",3,0.0,6
28,"(3, 2)","(6, 6)",2,0.0,7
29,"(2, 2)","(6, 6)",1,0.0,8
30,"(2, 2)","(6, 6)",1,0.0,8
31,"(2, 2)","(6, 6)",1,0.0,8
32,"(2, 2)","(6, 6)",1,0.0,8
33,"(2, 2)","(6, 6)",1,0.0,8
34,"(2, 2)","(6, 6)",1,0.0,8
35,"(2, 2)","(6, 6)",1,0.0,8
36,"(2, 2)","(6, 6)",1,0.0,8
37,"(1, 2)","(6, 6)",0,0.0,9
38,"(1, 2)","(6, 6)",0,0.0,9
39,"(1, 2)","(6, 6)",0,0.0,9
40,"(1, 2)","(6, 6)",0,0.0,9
41,"(1, 3)","(6, 6)",1,0.0,8
42,"(1, 3)","(6, 6)",1,0.0,8
43,"(1, 3)","(6, 6)",1,0.0,8
44,"(1, 3)","(6, 6)",1,0.0,8
45,"(1, 3)","(6, 6)",1,0.0,8
46,"(1, 3)","(6, 6)",1,0.0,8
47,"(1, 3)","(6, 6)",1,0.0,8
48,"(1, 3)","(6, 6)",1,0.0,8
49,"(1, 4)","(6, 6)",2,0.0,7
50,"(1, 4)","(6, 6)",2,0.0,7
51,"(1, 4)","(6, 6)",2,0.0,7
52,"(1, 4)","(6, 6)",2,0.0,7
53,"(1, 4)","(6, 6)",2,0.0,7
54,"(1, 4)","(6, 6)",2,0.0,7
55,"(1, 5)","(6, 6)",3,0.0,6
56,"(1, 5)","(6, 6)",3,0.0,6
57,"(1, 5)","(6, 6)",3,0.0,6
58,"(1, 5)","(6, 6)",3,0.0,6
59,"(1, 5)","(6, 6)",3,0.0,6
60,"(1, 5)","(6, 6)",3,0.0,6
61,"(1, 5)","(6, 6)",3,0.0,6
62,"(1, 6)","(6, 6)",4,0.0,5
63,"(1, 6)","(6, 6)",4,0.0,5
64,"(1, 6)","(6, 6)",4,0.0,5
65,"(1, 6)","(6, 6)",4,0.0,5
66,"(1, 6)","(6, 6)",4,0.0,5
67,"(1, 6)","(6, 6)",4,0.0,5
68,"(1, 6)","(6, 6)",4,0.0,5
69,"(1, 6)","(6, 6)",4,0.0,5
70,"(1, 6)","(6, 6)",4,0.0,5
71,"(1, 6)","(6, 6)",4,0.0,5
72,"(1, 6)","(6, 6)",4,0.0,5
73,"(1, 6)","(6, 6)",4,0.0,5
74,"(1, 6)","(6, 6)",4,0.0,5
75,"(1, 6)","(6, 6)",4,0.0,5
76,"(1, 6)","(6, 6)",4,0.0,5
77,"(1, 6)","(6, 6)",4,0.0,5
78,"(1, 6)","(6, 6)",4,0.0,5
79,"(1, 6)","(6, 6)",4,0.0,5
80,"(1, 6)","(6, 6)",4,0.0,5
81,"(1, 6)","(6, 6)",4,0.0,5
82,"(1, 6)","(6, 6)",4,0.0,5
83,"(1, 6)","(6, 6)",4,0.0,5
84,"(2, 6)","(6, 6)",5,0.0,4
85,"(2, 6)","(6, 6)",5,0.0,4
86,"(2, 6)","(6, 6)",5,0.0,4
87,"(2, 6)","(6, 6)",5,0.0,4
88,"(2, 6)","(6, 6)",5,0.0,4
89,"(2, 6)","(6, 6)",5,0.0,4
90,"(2, 6)","(6, 6)",5,0.0,4
91,"(3, 6)","(6, 6)",6,0.0,3
92,"(3, 6)","(6, 6)",6,0.0,3
93,"(3, 6)","(6, 6)",6,0.0,3
94,"(3, 6)","(6, 6)",6,0.0,3
95,"(3, 6)","(6, 6)",6,0.0,3
96,"(3, 6)","(6, 6)",6,0.0,3
97,"(3, 6)","(6, 6)",6,0.0,3
98,"(3, 6)","(6, 6)",6,0.0,3
99,"(3, 6)","(6, 6)",6,0.0,3
100,"(3, 6)","(6, 6)",6,0.0,3
101,"(3, 6)","(6, 6)",6,0.0,3
102,"(3, 6)","(6, 6)",6,0.0,3
103,"(3, 6)","(6, 6)",6,0.0,3
104,"(3, 6)","(6, 6)",6,0.0,3
105,"(3, 6)","(6, 6)",6,0.0,3
106,"(3, 6)","(6, 6)",6,0.0,3
107,"(3, 6)","(6, 6)",6,0.0,3
108,"(3, 6)","(6, 6)",6,0.0,3
109,"(3, 6)","(6, 6)",6,0.0,3
110,"(4, 6)","(6, 6)",7,0.0,2
111,"(4, 6)","(6, 6)",7,0.0,2
112,"(4, 6)","(6, 6)",7,0.0,2
113,"(4, 6)","(6, 6)",7,0.0,2
114,"(4, 6)","(6, 6)",7,0.0,2
115,"(4, 6)","(6, 6)",7,0.0,2
116,"(4, 6)","(6, 6)",7,0.0,2
117,"(4, 6)","(6, 6)",7,0.0,2
118,"(4, 6)","(6, 6)",7,0.0,2
119,"(4, 6)","(6, 6)",7,0.0,2
120,"(4, 6)","(6, 6)",7,0.0,2
121,"(4, 6)","(6, 6)",7,0.0,2
122,"(4, 6)","(6, 6)",7,0.0,2
123,"(4, 6)","(6, 6)",7,0.0,2
124,"(4, 6)","(6, 6)",7,0.0,2
125,"(4, 6)","(6, 6)",7,0.0,2
126,"(4, 6)","(6, 6)",7,0.0,2
127,"(4, 6)","(6, 6)",7,0.0,2
128,"(4, 6)","(6, 6)",7,0.0,2
129,"(4, 6)","(6, 6)",7,0.0,2
130,"(4, 6)","(6, 6)",7,0.0,2
131,"(4, 6)","(6, 6)",7,0.0,2
132,"(4, 6)","(6, 6)",7,0.0,2
133,"(4, 6)","(6, 6)",7,0.0,2
134,"(4, 6)","(6, 6)",7,0.0,2
135,"(4, 6)","(6, 6)",7,0.0,2
136,"(4, 6)","(6, 6)",7,0.0,2
137,"(4, 6)","(6, 6)",7,0.0,2
138,"(4, 6)","(6, 6)",7,0.0,2
139,"(4, 6)","(6, 6)",7,0.0,2
140,"(4, 6)","(6, 6)",7,0.0,2
141,"(4, 6)","(6, 6)",7,0.0,2
142,"(4, 6)","(6, 6)",7,0.0,2
143,"(4, 6)","(6, 6)",7,0.0,2
144,"(4, 6)","(6, 6)",7,0.0,2
145,"(4, 6)","(6, 6)",7,0.0,2
146,"(4, 6)","(6, 6)",7,0.0,2
147,"(4, 6)","(6, 6)",7,0.0,2
148,"(4, 6)","(6, 6)",7,0.0,2
149,"(4, 6)","(6, 6)",7,0.0,2
150,"(4, 6)","(6, 6)",7,0.0,2
151,"(4, 6)","(6, 6)",7,0.0,2
152,"(4, 6)","(6, 6)",7,0.0,2
153,"(4, 6)","(6, 6)",7,0.0,2
154,"(4, 6)","(6, 6)",7,0.0,2
155,"(4, 6)","(6, 6)",7,0.0,2
156,"(4, 6)","(6, 6)",7,0.0,2
157,"(4, 6)","(6, 6)",7,0.0,2
158,"(4, 6)","(6, 6)",7,0.0,2
159,"(4, 6)","(6, 6)",7,0.0,2
160,"(4, 6)","(6, 6)",7,0.0,2
161,"(4, 6)","(6, 6)",7,0.0,2
162,"(4, 6)","(6, 6)",7,0.0,2
163,"(4, 6)","(6, 6)",7,0.0,2
164,"(4, 6)","(6, 6)",7,0.0,2
165,"(4, 6)","(6, 6)",7,0.0,2
166,"(4, 6)","(6, 6)",7,0.0,2
167,"(5, 6)","(6, 6)",8,0.0,1
168,"(5, 6)","(6, 6)",8,0.0,1
169,"(5, 6)","(6, 6)",8,0.0,1
170,"(5, 5)","(6, 6)",7,0.0,2
171,"(5, 4)","(6, 6)",6,0.0,3
172,"(5, 4)","(6, 6)",6,0.0,3
173,"(5, 3)","(6, 6)",5,0.0,4
174,"(5, 3)","(6, 6)",5,0.0,4
175,"(5, 3)","(6, 6)",5,0.0,4
176,"(5, 3)","(6, 6)",5,0.0,4
177,"(5, 3)","(6, 6)",5,0.0,4
178,"(5, 3)","(6, 6)",5,0.0,4
179,"(5, 3)","(6, 6)",5,0.0,4
180,"(5, 3)","(6, 6)",5,0.0,4
181,"(5, 3)","(6, 6)",5,0.0,4
182,"(5, 3)","(6, 6)",5,0.0,4
183,"(5, 3)","(6, 6)",5,0.0,4
184,"(5, 3)","(6, 6)",5,0.0,4
185,"(5, 3)","(6, 6)",5,0.0,4
186,"(5, 3)","(6, 6)",5,0.0,4
187,"(5, 2)","(6, 6)",4,0.0,5
188,"(5, 2)","(6, 6)",4,0.0,5
189,"(5, 2)","(6, 6)",4,0.0,5
190,"(5, 2)","(6, 6)",4,0.0,5
191,"(5, 2)","(6, 6)",4,0.0,5
192,"(5, 2)","(6, 6)",4,0.0,5
193,"(5, 2)","(6, 6)",4,0.0,5
194,"(5, 2)","(6, 6)",4,0.0,5
195,"(5, 2)","(6, 6)",4,0.0,5
196,"(5, 2)","(6, 6)",4,0.0,5
197,"(5, 2)","(6, 6)",4,0.0,5
198,"(5, 2)","(6, 6)",4,0.0,5
199,"(5, 1)","(6, 6)",3,0.0,6
200,"(5, 1)","(6, 6)",3,0.0,6
201,"(5, 1)","(6, 6)",3,0.0,6
202,"(5, 1)","(6, 6)",3,0.0,6
203,"(5, 1)","(6, 6)",3,0.0,6
204,"(5, 1)","(6, 6)",3,0.0,6
205,"(5, 1)","(6, 6)",3,0.0,6
206,"(6, 1)","(6, 6)",4,0.0,5
207,"(6, 1)","(6, 6)",4,0.0,5
208,"(6, 1)","(6, 6)",4,0.0,5
209,"(6, 1)","(6, 6)",4,0.0,5
210,"(6, 1)","(6, 6)",4,0.0,5
211,"(6, 1)","(6, 6)",4,0.0,5
212,"(6, 1)","(6, 6)",4,0.0,5
213,"(6, 1)","(6, 6)",4,0.0,5
214,"(6, 1)","(6, 6)",4,0.0,5
215,"(6, 1)","(6, 6)",4,0.0,5
216,"(6, 1)","(6, 6)",4,0.0,5
217,"(6, 1)","(6, 6)",4,0.0,5
218,"(6, 1)","(6, 6)",4,0.0,5
219,"(6, 1)","(6, 6)",4,0.0,5
220,"(6, 1)","(6, 6)",4,0.0,5
221,"(6, 1)","(6, 6)",4,0.0,5
222,"(6, 1)","(6, 6)",4,0.0,5
223,"(6, 1)","(6, 6)",4,0.0,5
224,"(6, 1)","(6, 6)",4,0.0,5
225,"(5, 1)","(6, 6)",3,0.0,6
226,"(5, 1)","(6, 6)",3,0.0,6
227,"(5, 1)","(6, 6)",3,0.0,6
228,"(5, 1)","(6, 6)",3,0.0,6
229,"(5, 1)","(6, 6)",3,0.0,6
230,"(5, 1)","(6, 6)",3,0.0,6
231,"(5, 1)","(6, 6)",3,0.0,6
232,"(5, 1)","(6, 6)",3,0.0,6
233,"(5, 1)","(6, 6)",3,0.0,6
234,"(5, 1)","(6, 6)",3,0.0,6
235,"(5, 1)","(6, 6)",3,0.0,6
236,"(4, 1)","(6, 6)",2,0.0,7
237,"(4, 1)","(6, 6)",2,0.0,7
238,"(3, 1)","(6, 6)",1,0.0,8
239,"(2, 1)","(6, 6)",0,0.0,9
240,"(2, 1)","(6, 6)",0,0.0,9
241,"(2, 1)","(6, 6)",0,0.0,9
242,"(2, 1)","(6, 6)",0,0.0,9
243,"(2, 1)","(6, 6)",0,0.0,9
244,"(2, 1)","(6, 6)",0,0.0,9
245,"(2, 1)","(6, 6)",0,0.0,9
246,"(2, 1)","(6, 6)",0,0.0,9
247,"(2, 1)","(6, 6)",0,0.0,9
248,"(2, 1)","(6, 6)",0,0.0,9
249,"(2, 1)","(6, 6)",0,0.0,9
250,"(2, 1)","(6, 6)",0,0.0,9
251,"(2, 1)","(6, 6)",0,0.0,9
252,"(2, 1)","(6, 6)",0,0.0,9
253,"(2, 1)","(6, 6)",0,0.0,9
254,"(2, 1)","(6, 6)",0,0.0,9
255,"(2, 1)","(6, 6)",0,0.0,9
256,"(2, 1)","(6, 6)",0,0.0,9
257,"(2, 1)","(6, 6)",0,0.0,9
258,"(2, 1)","(6, 6)",0,0.0,9
259,"(2, 1)","(6, 6)",0,0.0,9
260,"(2, 1)","(6, 6)",0,0.0,9
261,"(2, 1)","(6, 6)",0,0.0,9
262,"(2, 1)","(6, 6)",0,0.0,9
263,"(1, 1)","(6, 6)",0,0.0,10
264,"(1, 1)","(6, 6)",0,0.0,10
265,"(1, 1)","(6, 6)",0,0.0,10
266,"(1, 1)","(6, 6)",0,0.0,10
267,"(1, 1)","(6, 6)",0,0.0,10
268,"(1, 1)","(6, 6)",0,0.0,10
269,"(1, 1)","(6, 6)",0,0.0,10
270,"(1, 1)","(6, 6)",0,0.0,10
271,"(1, 1)","(6, 6)",0,0.0,10
272,"(1, 1)","(6, 6)",0,0.0,10
273,"(1, 1)","(6, 6)",273,"(1, 2)","(6, 6)",0,0.0,9
274,"(1, 2)","(6, 6)",0,0.0,9
275,"(1, 3)","(6, 6)",1,0.0,8
276,"(1, 3)","(6, 6)",1,0.0,8
277,"(1, 3)","(6, 6)",1,0.0,8
278,"(1, 3)","(6, 6)",1,0.0,8
279,"(1, 3)","(6, 6)",1,0.0,8
280,"(1, 3)","(6, 6)",1,0.0,8
281,"(1, 3)","(6, 6)",1,0.0,8
282,"(1, 3)","(6, 6)",1,0.0,8
283,"(1, 3)","(6, 6)",1,0.0,8
284,"(1, 3)","(6, 6)",1,0.0,8
285,"(1, 3)","(6, 6)",1,0.0,8
286,"(1, 3)","(6, 6)",1,0.0,8
287,"(1, 3)","(6, 6)",1,0.0,8
288,"(1, 3)","(6, 6)",1,0.0,8
289,"(1, 3)","(6, 6)",1,0.0,8
290,"(2, 3)","(6, 6)",2,0.0,7
291,"(2, 3)","(6, 6)",2,0.0,7
292,"(2, 3)","(6, 6)",2,0.0,7
293,"(2, 3)","(6, 6)",2,0.0,7
294,"(2, 4)","(6, 6)",3,0.0,6
295,"(2, 4)","(6, 6)",3,0.0,6
296,"(2, 4)","(6, 6)",3,0.0,6
297,"(2, 4)","(6, 6)",3,0.0,6
298,"(2, 4)","(6, 6)",3,0.0,6
299,"(2, 4)","(6, 6)",3,0.0,6
300,"(2, 3)","(6, 6)",2,0.0,7
301,"(2, 3)","(6, 6)",2,0.0,7
302,"(2, 3)","(6, 6)",2,0.0,7
303,"(2, 3)","(6, 6)",2,0.0,7
304,"(2, 3)","(6, 6)",2,0.0,7
305,"(3, 3)","(6, 6)",3,0.0,6
306,"(3, 3)","(6, 6)",3,0.0,6
307,"(3, 3)","(6, 6)",3,0.0,6
308,"(3, 3)","(6, 6)",3,0.0,6
309,"(3, 4)","(6, 6)",4,0.0,5
310,"(3, 4)","(6, 6)",4,0.0,5
311,"(3, 4)","(6, 6)",4,0.0,5
312,"(2, 4)","(6, 6)",3,0.0,6
313,"(2, 4)","(6, 6)",3,0.0,6
314,"(1, 4)","(6, 6)",2,0.0,7
315,"(1, 4)","(6, 6)",2,0.0,7
316,"(1, 4)","(6, 6)",2,0.0,7
317,"(1, 4)","(6, 6)",2,0.0,7
318,"(1, 4)","(6, 6)",2,0.0,7
319,"(1, 4)","(6, 6)",2,0.0,7
320,"(1, 4)","(6, 6)",2,0.0,7
321,"(1, 4)","(6, 6)",2,0.0,7
322,"(1, 4)","(6, 6)",2,0.0,7
323,"(1, 4)","(6, 6)",2,0.0,7
324,"(2, 4)","(6, 6)",3,0.0,6
325,"(2, 4)","(6, 6)",3,0.0,6
326,"(2, 4)","(6, 6)",3,0.0,6
327,"(2, 4)","(6, 6)",3,0.0,6
328,"(2, 4)","(6, 6)",3,0.0,6
329,"(2, 4)","(6, 6)",3,0.0,6
330,"(2, 4)","(6, 6)",3,0.0,6
331,"(2, 4)","(6, 6)",3,0.0,6
332,"(2, 4)","(6, 6)",3,0.0,6
333,"(2, 4)","(6, 6)",3,0.0,6
334,"(2, 4)","(6, 6)",3,0.0,6
335,"(2, 4)","(6, 6)",3,0.0,6
336,"(2, 4)","(6, 6)",3,0.0,6
337,"(2, 3)","(6, 6)",2,0.0,7
338,"(2, 3)","(6, 6)",2,0.0,7
339,"(2, 2)","(6, 6)",1,0.0,8
340,"(2, 2)","(6, 6)",1,0.0,8
341,"(2, 2)","(6, 6)",1,0.0,8
342,"(2, 2)","(6, 6)",1,0.0,8
343,"(2, 2)","(6, 6)",1,0.0,8
344,"(2, 2)","(6, 6)",1,0.0,8
345,"(2, 2)","(6, 6)",1,0.0,8
346,"(2, 2)","(6, 6)",1,0.0,8
347,"(2, 2)","(6, 6)",1,0.0,8
348,"(2, 2)","(6, 6)",1,0.0,8
349,"(2, 2)","(6, 6)",1,0.0,8
350,"(2, 2)","(6, 6)",1,0.0,8
351,"(2, 1)","(6, 6)",0,0.0,9
352,"(2, 1)","(6, 6)",0,0.0,9
353,"(2, 1)","(6, 6)",0,0.0,9
354,"(2, 1)","(6, 6)",0,0.0,9
355,"(2, 1)","(6, 6)",0,0.0,9
356,"(2, 1)","(6, 6)",0,0.0,9
357,"(2, 1)","(6, 6)",0,0.0,9
358,"(2, 1)","(6, 6)",0,0.0,9
359,"(2, 1)","(6, 6)",0,0.0,9
360,"(2, 1)","(6, 6)",0,0.0,9
361,"(2, 1)","(6, 6)",0,0.0,9
362,"(2, 1)","(6, 6)",0,0.0,9
363,"(2, 1)","(6, 6)",0,0.0,9
364,"(2, 1)","(6, 6)",0,0.0,9
365,"(1, 1)","(6, 6)",0,0.0,10
366,"(1, 1)","(6, 6)",0,0.0,10
367,"(1, 1)","(6, 6)",0,0.0,10
368,"(1, 1)","(6, 6)",0,0.0,10
