,player_pos,goal_pos,tier,original_reward,dist_to_goal,max_dist
0,"(6, 13)","(16, 7)",0,0,16,25.0
1,"(6, 13)","(16, 7)",0,0,16,25.0
2,"(6, 13)","(16, 7)",0,0,16,25.0
3,"(6, 13)","(16, 7)",0,0,16,25.0
4,"(6, 13)","(16, 7)",0,0,16,25.0
5,"(6, 13)","(16, 7)",0,0,16,25.0
6,"(6, 12)","(16, 7)",0,0,15,25.0
7,"(6, 12)","(16, 7)",0,0,15,25.0
8,"(6, 12)","(16, 7)",0,0,15,25.0
9,"(6, 12)","(16, 7)",0,0,15,25.0
10,"(6, 12)","(16, 7)",0,0,15,25.0
11,"(6, 12)","(16, 7)",0,0,15,25.0
12,"(6, 12)","(16, 7)",0,0,15,25.0
13,"(6, 12)","(16, 7)",0,0,15,25.0
14,"(6, 12)","(16, 7)",0,0,15,25.0
15,"(6, 12)","(16, 7)",0,0,15,25.0
16,"(6, 12)","(16, 7)",0,0,15,25.0
17,"(6, 12)","(16, 7)",0,0,15,25.0
18,"(6, 12)","(16, 7)",0,0,15,25.0
19,"(6, 12)","(16, 7)",0,0,15,25.0
20,"(6, 12)","(16, 7)",0,0,15,25.0
21,"(6, 12)","(16, 7)",0,0,15,25.0
22,"(6, 12)","(16, 7)",0,0,15,25.0
23,"(6, 12)","(16, 7)",0,0,15,25.0
24,"(6, 12)","(16, 7)",0,0,15,25.0
25,"(6, 12)","(16, 7)",0,0,15,25.0
26,"(6, 12)","(16, 7)",0,0,15,25.0
27,"(6, 12)","(16, 7)",0,0,15,25.0
28,"(6, 12)","(16, 7)",0,0,15,25.0
29,"(6, 12)","(16, 7)",0,0,15,25.0
30,"(6, 12)","(16, 7)",0,0,15,25.0
31,"(6, 12)","(16, 7)",0,0,15,25.0
32,"(6, 12)","(16, 7)",0,0,15,25.0
33,"(6, 12)","(16, 7)",0,0,15,25.0
34,"(6, 12)","(16, 7)",0,0,15,25.0
35,"(6, 12)","(16, 7)",0,0,15,25.0
36,"(6, 12)","(16, 7)",0,0,15,25.0
37,"(6, 12)","(16, 7)",0,0,15,25.0
38,"(6, 12)","(16, 7)",0,0,15,25.0
39,"(6, 12)","(16, 7)",0,0,15,25.0
40,"(6, 12)","(16, 7)",0,0,15,25.0
41,"(6, 12)","(16, 7)",0,0,15,25.0
42,"(6, 12)","(16, 7)",0,0,15,25.0
43,"(6, 12)","(16, 7)",0,0,15,25.0
44,"(6, 12)","(16, 7)",0,0,15,25.0
45,"(6, 12)","(16, 7)",0,0,15,25.0
