,player_pos,goal_pos,tier,original_reward,dist_to_goal,max_dist
0,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
1,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
2,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
3,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
4,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
5,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
6,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
7,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
8,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
9,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
10,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
11,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
12,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
13,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
14,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
15,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
16,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
17,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
18,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
19,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
20,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
21,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
22,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
23,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
24,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
25,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
26,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
27,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
28,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
29,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
30,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
31,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
32,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
33,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
34,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
35,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
36,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
37,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
38,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
39,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
40,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
41,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
42,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
43,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
44,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
45,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
46,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
47,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
48,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
49,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
50,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
51,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
52,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
53,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
54,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
55,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
56,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
57,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
58,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
59,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
60,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
61,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
62,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
63,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
64,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
65,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
66,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
67,"(1, 16)","(16, 17)",0,0.0,16.0,31.0
68,"(1, 16)","(16, 17)",0,0.0,16.0,31.0
69,"(1, 16)","(16, 17)",0,0.0,16.0,31.0
70,"(1, 16)","(16, 17)",0,0.0,16.0,31.0
71,"(1, 16)","(16, 17)",0,0.0,16.0,31.0
72,"(1, 16)","(16, 17)",0,0.0,16.0,31.0
73,"(1, 16)","(16, 17)",0,0.0,16.0,31.0
74,"(1, 16)","(16, 17)",0,0.0,16.0,31.0
75,"(1, 16)","(16, 17)",0,0.0,16.0,31.0
76,"(1, 16)","(16, 17)",0,0.0,16.0,31.0
77,"(1, 16)","(16, 17)",0,0.0,16.0,31.0
78,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
79,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
80,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
81,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
82,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
83,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
84,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
85,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
86,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
87,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
88,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
89,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
90,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
91,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
92,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
93,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
94,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
95,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
96,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
97,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
98,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
99,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
100,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
101,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
102,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
103,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
104,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
105,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
106,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
107,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
108,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
109,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
110,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
111,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
112,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
113,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
114,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
115,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
116,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
117,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
118,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
119,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
120,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
121,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
122,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
123,"(1, 13)","(16, 17)",0,0.0,19.0,31.0
124,"(1, 14)","(16, 17)",0,0.0,18.0,31.0
125,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
126,"(1, 15)","(16, 17)",0,0.0,17.0,31.0
127,"(1, 16)","(16, 17)",0,0.0,16.0,31.0
128,"(1, 17)","(16, 17)",0,0.0,17.0,31.0
129,"(1, 17)","(16, 17)",0,0.0,17.0,31.0
130,"(1, 17)","(16, 17)",0,0.0,17.0,31.0
131,"(1, 17)","(16, 17)",0,0.0,17.0,31.0
132,"(1, 17)","(16, 17)",0,0.0,17.0,31.0
133,"(1, 17)","(16, 17)",0,0.0,17.0,31.0
134,"(1, 17)","(16, 17)",0,0.0,17.0,31.0
